"SL","Question ID","question","answer","category","Source link","keywords"
"45","Q100088","What is the admission test syllabus?","Syllabus varies by program; check your program’s admission guidelines.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","test syllabus"
"46","Q100089","Can I get sample admission questions?","Yes, sample questions are sometimes provided by departments.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","sample questions"
"47","Q100090","Are there counseling sessions for applicants?","Yes, online and offline counseling sessions are available.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","counseling"
"48","Q107103","How to apply without HSC certificates/transcripts?","There is no chance to apply without HSC certificates/transcript.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","apply without HSC"
"49","Q107301","If I miss my viva"," can I still get admitted?,No. If viva is required for your admission you must face viva. If you miss viva, contact your desired department as soon as possible.,Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","miss viva","admitted"
"50","Q200101","What is the total estimated cost for a 4-year CSE degree"," including all semesters?,The total program fee for the Computer Science and Engineering (CSE) program at Daffodil International University is 931,800 BDT, which includes tuition fees for all semesters, registration fees, and admission fees. The tuition fee alone amounts to 713,400 BDT. The program spans 4 years and comprises 154.5 credit hours. At the time of admission, students are required to pay 51,867 BDT, while the average semester fee is approximately 75,000 BDT. Additionally, all undergraduate students will receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","CSE cost"
"51","Q200102","What is the total estimated cost for a 4-year CIS degree"," including all semesters?,The total program fee for the B.Sc. in Computing and Information System (CIS) program at Daffodil International University is 712,500 BDT, which includes tuition fees for all semesters, registration fees, and admission fees. The total tuition fee is 483,600 BDT. This 4-year program comprises 142 credit hours. At the time of admission, students are required to pay 50,667 BDT, and the average semester fee is approximately 58,000 BDT. Additionally, all undergraduate students will receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","CIS cost"
"52","Q200103","What is the total estimated cost for a 4-year SWE degree"," including all semesters?,The total program fee for the B.Sc. in Software Engineering (SWE) program is 871,200 BDT. This includes tuition fees for all semesters, registration fees, and admission fees. The total tuition fee is 603,000 BDT. The program consists of 145 credit hours and has a duration of 4 years. At the time of admission, students need to pay 51,867 BDT, and the average semester fee is around 70,000 BDT. All undergraduate students will receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","SWE cost"
"53","Q200104","What is the total estimated cost for a 4-year SWE (Major in Cyber Security) degree"," including all semesters?,The total program fee for the B.Sc. in Software Engineering (Major in Cyber Security) program is 882,200 BDT. This includes tuition fees for all semesters, registration fees, and admission fees. The total tuition fee is 659,000 BDT. The program consists of 145 credit hours and has duration of 4 years. At the time of admission, students need to pay 51,867 BDT, and the average semester fee is around 72,000 BDT. All undergraduate students will receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","SWE Cyber Security cost"
"54","Q200105","What is the total estimated cost for a 4-year SWE (Major in Data Science) degree"," including all semesters?,The total program fee for the B.Sc. in Software Engineering (Major in Data Science) program is 882,200 BDT. This includes tuition fees for all semesters, registration fees, and admission fees. The total tuition fee is 659,000 BDT. The program consists of 145 credit hours and has duration of 4 years. At the time of admission, students need to pay 51,867 BDT, and the average semester fee is around 72,000 BDT. All undergraduate students will receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","SWE Data Science cost"
"55","Q200106","What is the total estimated cost for a 4-year SWE (Major in Robotics) degree"," including all semesters?,The total program fee for the B.Sc. in Software Engineering (Major in Robotics) program is 884,200 BDT. This includes tuition fees for all semesters, registration fees, and admission fees. The total tuition fee is 661,000 BDT. The program consists of 145 credit hours and has a duration of 4 years. At the time of admission, students need to pay 51,867 BDT, and the average semester fee is around 72,000 BDT. All undergraduate students will receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","SWE Robotics cost"
"56","Q200107","What is the total estimated cost for a 4-year PESS degree"," including all semesters?,The total program fee for the B.Sc. (Hon's) in Physical Education and Sports Science (PESS) program is 558,100 BDT. This includes tuition fees for all semesters, registration fees, and admission fees. The total tuition fee is 359,400 BDT. The program consists of 144 credit hours and has duration of 4 years. At the time of admission, students need to pay 47,967 BDT, and the average semester fee is around 45,000 BDT. All undergraduate students will receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PESS cost"
"57","Q200108","What is the total estimated cost for a 4-year EEE degree"," including all semesters?,The total program fee for the B.Sc. in Electrical and Electronic Engineering (EEE) program is 931,800 BDT, which includes tuition fees for all semesters, registration fees, and admission fees. The total tuition fee is 713,400 BDT. The program consists of 154.5 credit hours and has a duration of 4 years. At the time of admission, students need to pay 51,867 BDT, and the average semester fee is approximately 75,000 BDT. All undergraduate students will receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","EEE cost"
"58","Q200109","What is the total estimated cost for a 4-year ETE degree"," including all semesters?,The total program fee for the B.Sc. in Electronics and Telecommunication Engineering (ETE) program is 931,800 BDT, including tuition fees, registration fees, and admission fees. The tuition fee is 713,400 BDT. This 4-year program has 154.5 credit hours. At admission, students pay 51,867 BDT, and the average semester fee is around 75,000 BDT. A free laptop is provided to all undergraduate students.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","ETE cost"
"59","Q200110","What is the total estimated cost for a 4-year CE degree"," including all semesters?,The total program fee for the B.Sc. in Civil Engineering (CE) program is 931,800 BDT, which includes tuition, registration, and admission fees. Total tuition is 713,400 BDT. The program spans 4 years with 154.5 credit hours. Admission payment is 51,867 BDT, average semester fee ~75,000 BDT. Free laptop provided.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","CE cost"
"60","Q200111","What is the total estimated cost for a 4-year ME degree"," including all semesters?,The total program fee for the B.Sc. in Mechanical Engineering (ME) is 931,800 BDT, including tuition, registration, and admission fees. Tuition alone is 713,400 BDT. The 4-year program has 154.5 credit hours. At admission, students pay 51,867 BDT, with an average semester fee of 75,000 BDT. All undergraduates receive a free laptop.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","ME cost"
"61","Q200112","What is the total estimated cost for a 4-year IPE degree"," including all semesters?,The total program fee for the B.Sc. in Industrial and Production Engineering (IPE) program is 931,800 BDT, including tuition, registration, and admission fees. Tuition is 713,400 BDT. The program spans 4 years, 154.5 credit hours. Admission requires 51,867 BDT, and average semester fee is 75,000 BDT. Free laptop provided.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","IPE cost"
"62","Q200113","What is the total estimated cost for a 4-year Pharmacy degree"," including all semesters?,The total program fee for the B.Pharm (Hon’s) program is 712,500 BDT, which includes tuition fees for all semesters, registration fees, and admission fees. Tuition alone is 483,600 BDT. Program duration: 4 years, total 142 credit hours. Admission payment: 50,667 BDT, average semester fee: 58,000 BDT. Free laptop provided.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","Pharmacy cost"
"63","Q200114","What is the total estimated cost for a 4-year BBA degree"," including all semesters?,The total program fee for the BBA (Bachelor of Business Administration) is 558,100 BDT, including tuition, registration, and admission fees. Tuition: 359,400 BDT. Program duration: 4 years, 144 credit hours. Admission payment: 47,967 BDT, average semester fee: 45,000 BDT. Free laptop provided.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","BBA cost"
"64","Q200115","What is the total estimated cost for a 4-year MBA (Evening) degree?","The total program fee for the MBA (Evening) program is 360,000 BDT, which includes tuition fees for all semesters, registration fees, and admission fees. Tuition alone is 300,000 BDT. Duration: 2 years, total 60 credit hours. Admission payment: 50,000 BDT, average semester fee: 75,000 BDT.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","MBA Evening cost"
"65","Q200116","What is the total estimated cost for a 1-year Post Graduate Diploma in SWE?","The total program fee for the PGD in Software Engineering is 110,000 BDT. Tuition: 90,000 BDT, duration 1 year, 36 credit hours. Admission payment: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop provided.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD SWE cost"
"66","Q200117","What is the total estimated cost for a 1-year PGD in CIS?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, Duration: 1 year, 36 credit hours. At admission, pay 26,625 BDT. Average semester fee ~35,000 BDT. Free laptop provided for undergraduate students.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD CIS cost"
"67","Q200118","What is the total estimated cost for a 1-year PGD in CSE?","Total program fee: 115,000 BDT. Tuition: 95,000 BDT, duration: 1 year, 36 credit hours. Admission payment: 28,750 BDT, average semester fee: 36,000 BDT. Free laptop provided for students.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD CSE cost"
"68","Q200119","What is the total estimated cost for a 1-year PGD in SWE (Cyber Security)?","Total program fee: 120,000 BDT. Tuition: 100,000 BDT, duration: 1 year, 36 credit hours. Admission: 30,000 BDT, average semester fee: 37,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD SWE Cyber Security cost"
"69","Q200120","What is the total estimated cost for a 1-year PGD in SWE (Data Science)?","Total program fee: 120,000 BDT. Tuition: 100,000 BDT, duration: 1 year, 36 credit hours. Admission: 30,000 BDT, average semester fee: 37,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD SWE Data Science cost"
"70","Q200121","What is the total estimated cost for a 1-year PGD in SWE (Robotics)?","Total program fee: 122,000 BDT. Tuition: 102,000 BDT, duration: 1 year, 36 credit hours. Admission: 30,500 BDT, average semester fee: 37,500 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD SWE Robotics cost"
"71","Q200122","What is the total estimated cost for a 1-year PGD in EEE?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD EEE cost"
"72","Q200123","What is the total estimated cost for a 1-year PGD in CE?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD CE cost"
"73","Q200124","What is the total estimated cost for a 1-year PGD in ME?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD ME cost"
"74","Q200125","What is the total estimated cost for a 1-year PGD in IPE?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD IPE cost"
"75","Q200126","What is the total estimated cost for a 1-year PGD in Pharmacy?","Total program fee: 95,000 BDT. Tuition: 75,000 BDT, duration: 1 year, 36 credit hours. Admission: 23,750 BDT, average semester fee: 32,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Pharmacy cost"
"76","Q200127","What is the total estimated cost for a 1-year PGD in PESS?","Total program fee: 95,000 BDT. Tuition: 75,000 BDT, duration: 1 year, 36 credit hours. Admission: 23,750 BDT, average semester fee: 32,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD PESS cost"
"77","Q200128","What is the total estimated cost for a 1-year PGD in BBA?","Total program fee: 95,000 BDT. Tuition: 75,000 BDT, duration: 1 year, 36 credit hours. Admission: 23,750 BDT, average semester fee: 32,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD BBA cost"
"78","Q200129","What is the total estimated cost for a 1-year PGD in MBA?","Total program fee: 120,000 BDT. Tuition: 100,000 BDT, duration: 1 year, 36 credit hours. Admission: 30,000 BDT, average semester fee: 37,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD MBA cost"
"79","Q200130","What is the total estimated cost for a 2-year MBA (Regular) program?","Total program fee: 360,000 BDT. Tuition: 300,000 BDT, duration: 2 years, 60 credit hours. Admission: 50,000 BDT, average semester fee: 75,000 BDT. Free laptop provided.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","MBA Regular cost"
"80","Q200131","What is the total estimated cost for a 2-year MBA (Evening) program?","Total program fee: 360,000 BDT. Tuition: 300,000 BDT, duration: 2 years, 60 credit hours. Admission: 50,000 BDT, average semester fee: 75,000 BDT. Free laptop provided.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","MBA Evening cost"
"81","Q200132","What is the total estimated cost for a 1-year PGD in MIS?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD MIS cost"
"82","Q200133","What is the total estimated cost for a 1-year PGD in Supply Chain Management?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD SCM cost"
"83","Q200134","What is the total estimated cost for a 1-year PGD in Accounting?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Accounting cost"
"84","Q200135","What is the total estimated cost for a 1-year PGD in Finance?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Finance cost"
"85","Q200136","What is the total estimated cost for a 1-year PGD in Marketing?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Marketing cost"
"86","Q200137","What is the total estimated cost for a 1-year PGD in HRM?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD HRM cost"
"87","Q200138","What is the total estimated cost for a 1-year PGD in Project Management?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Project Management cost"
"88","Q200139","What is the total estimated cost for a 1-year PGD in Tourism & Hospitality Management?","Total program fee: 110,000 BDT. Tuition: 90,000 BDT, duration: 1 year, 36 credit hours. Admission: 26,625 BDT, average semester fee: 35,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Tourism cost"
"89","Q200140","What is the total estimated cost for a 1-year PGD in Textile Engineering?","Total program fee: 115,000 BDT. Tuition: 95,000 BDT, duration: 1 year, 36 credit hours. Admission: 28,750 BDT, average semester fee: 36,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Textile cost"
"90","Q200141","What is the total estimated cost for a 1-year PGD in Food Technology?","Total program fee: 115,000 BDT. Tuition: 95,000 BDT, duration: 1 year, 36 credit hours. Admission: 28,750 BDT, average semester fee: 36,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Food Tech cost"
"91","Q200142","What is the total estimated cost for a 1-year PGD in Environmental Science?","Total program fee: 115,000 BDT. Tuition: 95,000 BDT, duration: 1 year, 36 credit hours. Admission: 28,750 BDT, average semester fee: 36,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Environmental Science cost"
"92","Q200143","What is the total estimated cost for a 1-year PGD in Biotechnology?","Total program fee: 120,000 BDT. Tuition: 100,000 BDT, duration: 1 year, 36 credit hours. Admission: 30,000 BDT, average semester fee: 37,000 BDT. Free laptop included.","Fees & Payments & Scholarships","https://daffodilvarsity.edu.bd/tuition-fees","PGD Biotechnology cost"
